Regional,Nivel,Programa,Total,Estrato,Ano,Periodo
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,6,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,77,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,4,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,42,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,2,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,7,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,3,5,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,2,N,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,1,0,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,10,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,113,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,18,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,181,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,23,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,122,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,29,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,9,5,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,2,N,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA CIVIL A DISTANCIA,4,N,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,1,0,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,11,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,3,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,18,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,2,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,14,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,5,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,1,0,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,8,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,2,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,21,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,6,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,16,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,2,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,5,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,2,5,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,1,6,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INDUSTRIAL A DISTANCIA,2,N,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,1,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,3,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,1,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,10,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,1,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,6,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,3,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,5,1,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,9,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,25,2,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,17,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,15,3,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,1,4,2022,2
Campus Nueva Granada,DISTANCIA,INGENIERIA INFORMATICA A DISTANCIA,1,5,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,1,0,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,1,1,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,7,1,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,2,2,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,24,2,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,14,3,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,13,3,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,2,4,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,7,4,2022,2
Campus Nueva Granada,DISTANCIA,RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS A DISTANCIA,1,5,2022,2
